strain	serotype	genotype	date	region	country	division	locate	host	passage	specimen	additional host information	sequencing technology	assembly method	comment	comment type
EPI_ISL_807197	DENV2	II-Cosmopolitan	2018-04-25	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807198	DENV2	II-Cosmopolitan	2018-04-22	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807199	DENV2	II-Cosmopolitan	2018-04-09	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807200	DENV2	II-Cosmopolitan	2018-04-03	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807202	DENV2	II-Cosmopolitan	2018-04-01	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807204	DENV2	II-Cosmopolitan	2018-03-29	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807205	DENV2	II-Cosmopolitan	2018-03-28	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807206	DENV2	II-Cosmopolitan	2018-03-26	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807207	DENV2	II-Cosmopolitan	2018-03-15	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807208	DENV2	II-Cosmopolitan	2018-03-14	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807209	DENV2	II-Cosmopolitan	2018-02-14	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807210	DENV2	II-Cosmopolitan	2018-01-30	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807211	DENV2	II-Cosmopolitan	2018-01-22	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807212	DENV2	II-Cosmopolitan	2018-01-22	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807213	DENV2	II-Cosmopolitan	2018-01-19	Asia	Sri Lanka			Human	Original	Plasma		Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807214	DENV2	II-Cosmopolitan	2018-01-19	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807215	DENV2	II-Cosmopolitan	2018-01-08	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807216	DENV2	II-Cosmopolitan	2018-01-03	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807217	DENV2	II-Cosmopolitan	2017-12-21	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807218	DENV2	II-Cosmopolitan	2017-12-13	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807219	DENV2	II-Cosmopolitan	2017-12-13	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807220	DENV2	II-Cosmopolitan	2017-12-01	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807221	DENV2	II-Cosmopolitan	2017-11-24	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807222	DENV2	II-Cosmopolitan	2017-11-21	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807223	DENV2	II-Cosmopolitan	2017-11-21	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807224	DENV2	II-Cosmopolitan	2017-11-16	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807225	DENV2	II-Cosmopolitan	2017-11-12	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807226	DENV2	II-Cosmopolitan	2017-11-02	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807227	DENV2	II-Cosmopolitan	2017-11-02	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807228	DENV2	II-Cosmopolitan	2017-11-01	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807229	DENV2	II-Cosmopolitan	2017-10-31	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807230	DENV2	II-Cosmopolitan	2017-10-31	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807231	DENV2	II-Cosmopolitan	2017-10-25	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807232	DENV2	II-Cosmopolitan	2017-10-23	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807233	DENV2	II-Cosmopolitan	2017-10-13	Asia	Sri Lanka			Human	Original			Illumina; Oxford Nanopore Technology	Bowtie v. 2; Minimap v. 2		
EPI_ISL_807477	DENV2	II-Cosmopolitan	2017-11-08	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807478	DENV2	II-Cosmopolitan	2017-11-06	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807479	DENV2	II-Cosmopolitan	2017-11-03	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807482	DENV2	II-Cosmopolitan	2017-10-30	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807484	DENV2	II-Cosmopolitan	2017-10-26	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807485	DENV2	II-Cosmopolitan	2017-10-25	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807486	DENV2	II-Cosmopolitan	2017-10-25	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807487	DENV2	II-Cosmopolitan	2017-10-24	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807489	DENV2	II-Cosmopolitan	2017-10-23	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807490	DENV2	II-Cosmopolitan	2017-10-17	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807491	DENV2	II-Cosmopolitan	2017-10-17	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807492	DENV2	II-Cosmopolitan	2017-10-16	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807493	DENV2	II-Cosmopolitan	2017-10-16	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807494	DENV2	II-Cosmopolitan	2017-10-16	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5	C without BLAST coverage. Partial prM gene sequence is reported.	warn
EPI_ISL_807496	DENV2	II-Cosmopolitan	2017-10-12	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807499	DENV2	II-Cosmopolitan	2017-10-09	Africa	Burkina Faso	Ouagadougou		Human	Original	Serum		Illumina	bowtie2 v. 2.3.5		
EPI_ISL_807862	DENV2	V-AsianI	2019-10-24	Asia	China	Yunnan	Xishuangbanna	Human	Original	Serum		Sanger			
EPI_ISL_807863	DENV2	II-Cosmopolitan	2019-10-24	Asia	China	Yunnan	Xishuangbanna	Human	Original	Serum		Sanger			
EPI_ISL_807864	DENV2	II-Cosmopolitan	2019-10-24	Asia	China	Yunnan	Xishuangbanna	Human	Original	Serum		Sanger			
EPI_ISL_807865	DENV2	II-Cosmopolitan	2019-10-24	Asia	China	Yunnan	Xishuangbanna	Human	Original	Serum		Sanger			
EPI_ISL_807866	DENV2	II-Cosmopolitan	2019-10-24	Asia	China	Yunnan	Xishuangbanna	Human	Original	Serum		Sanger			
EPI_ISL_807867	DENV2	II-Cosmopolitan	2019-10-24	Asia	China	Yunnan	Xishuangbanna	Human	Original	Serum		Sanger			
EPI_ISL_807868	DENV2	V-AsianI	2019-10-24	Asia	China	Yunnan	Xishuangbanna	Human	Original	Serum		Sanger			
EPI_ISL_808155	DENV2	III-Asian-American	2019-10-10	North America	Mexico	Jalisco		Human	Original	Serum		Illumina	CLC Genomic Workbench v. 20		
EPI_ISL_808157	DENV2	III-Asian-American	2019-09-13	North America	Mexico	Campeche		Human	Original	Serum		Illumina	CLC Genomic Workbench v. 20		
EPI_ISL_808158	DENV2	III-Asian-American	2018-08-16	North America	Mexico	Jalisco		Human	Original	Serum		Sanger			
EPI_ISL_808160	DENV2	III-Asian-American	2019-01-14	South America	Brazil	Rio de Janeiro	Vassouras	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (7.81%% of overall sequence).	warn
EPI_ISL_808167	DENV2	III-Asian-American	2019-01-31	South America	Brazil	Minas Gerais	Unai	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808168	DENV2	III-Asian-American	2019-01-31	South America	Brazil	Minas Gerais	Unai	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808169	DENV2	III-Asian-American	2019-03-27	South America	Brazil	Minas Gerais	Uberlandia	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (6.30%% of overall sequence).	warn
EPI_ISL_808170	DENV2	III-Asian-American	2019-03-19	South America	Brazil	Minas Gerais	Uberlandia	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808171	DENV2	III-Asian-American	2019-03-19	South America	Brazil	Minas Gerais	Uberlandia	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808172	DENV2	III-Asian-American	2019-04-12	South America	Brazil	Minas Gerais	Uberaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.75%% of overall sequence).	warn
EPI_ISL_808173	DENV2	III-Asian-American	2019-03-25	South America	Brazil	Minas Gerais	Uberaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808174	DENV2	III-Asian-American	2019-03-21	South America	Brazil	Minas Gerais	Uberaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808175	DENV2	III-Asian-American	2019-03-18	South America	Brazil	Minas Gerais	Uberaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.95%% of overall sequence).	warn
EPI_ISL_808176	DENV2	III-Asian-American	2019-02-27	South America	Brazil	Minas Gerais	Uberaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808177	DENV2	III-Asian-American	2019-02-26	South America	Brazil	Minas Gerais	Uberaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808178	DENV2	III-Asian-American	2019-02-19	South America	Brazil	Minas Gerais	Uberaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808179	DENV2	III-Asian-American	2019-01-14	South America	Brazil	Minas Gerais	Uberaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808180	DENV2	III-Asian-American	2018-04-22	South America	Brazil	Minas Gerais	Uberaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (7.13%% of overall sequence).	warn
EPI_ISL_808181	DENV2	III-Asian-American	2016-03-14	South America	Brazil	Minas Gerais	Uberaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808182	DENV2	III-Asian-American	2016-03-14	South America	Brazil	Minas Gerais	Uberaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.73%% of overall sequence).	warn
EPI_ISL_808183	DENV2	III-Asian-American	2016-01-29	South America	Brazil	Minas Gerais	Uberaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (6.29%% of overall sequence).	warn
EPI_ISL_808184	DENV2	III-Asian-American	2019-02-11	South America	Brazil	Goias	Turvania	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808191	DENV2	III-Asian-American	2019-07-12	South America	Brazil	Bahia	Salvador	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (8.45%% of overall sequence).	warn
EPI_ISL_808194	DENV2	III-Asian-American	2019-02-18	South America	Brazil	Goias	Rio Verde	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808196	DENV2	III-Asian-American	2019-02-11	South America	Brazil	Goias	Rio Verde	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808198	DENV2	III-Asian-American	2016-03-01	South America	Brazil	Sao Paulo	Ribeirao Preto	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808203	DENV2	III-Asian-American	2016-01-25	South America	Brazil	Sao Paulo	Ribeirao Preto	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808205	DENV2	III-Asian-American	2019-05-25	South America	Brazil	Minas Gerais	Ribeirao das Neves	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808206	DENV2	III-Asian-American	2019-05-09	South America	Brazil	Minas Gerais	Ribeirao das Neves	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (7.43%% of overall sequence).	warn
EPI_ISL_808209	DENV2	III-Asian-American	2019-06-11	South America	Brazil	Maranhao	Presidente Dutra	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (9.88%% of overall sequence). Partial NS5 gene sequence is reported.	warn
EPI_ISL_808210	DENV2	III-Asian-American	2019-02-18	South America	Brazil	Minas Gerais	Prata	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808211	DENV2	III-Asian-American	2019-02-18	South America	Brazil	Minas Gerais	Prata	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808212	DENV2	III-Asian-American	2019-03-18	South America	Brazil	Mato Grosso do Sul	Pedro Gomes	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.71%% of overall sequence).	warn
EPI_ISL_808213	DENV2	III-Asian-American	2019-03-29	South America	Brazil	Minas Gerais	Patrocinio	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808214	DENV2	III-Asian-American	2019-02-01	South America	Brazil	Minas Gerais	Patrocinio	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.71%% of overall sequence).	warn
EPI_ISL_808217	DENV2	III-Asian-American	2019-03-18	South America	Brazil	Goias	Parauna	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808219	DENV2	III-Asian-American	2019-02-18	South America	Brazil	Mato Grosso	Nova Xavantina	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808220	DENV2	III-Asian-American	2019-03-18	South America	Brazil	Mato Grosso do Sul	Nioaque	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.71%% of overall sequence).	warn
EPI_ISL_808221	DENV2	III-Asian-American	2019-03-15	South America	Brazil	Mato Grosso do Sul	Nioaque	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.76%% of overall sequence).	warn
EPI_ISL_808222	DENV2	III-Asian-American	2019-03-15	South America	Brazil	Mato Grosso do Sul	Nioaque	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808223	DENV2	III-Asian-American	2019-03-14	South America	Brazil	Mato Grosso do Sul	Nioaque	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808224	DENV2	III-Asian-American	2019-04-01	South America	Brazil	Minas Gerais	Natalandia	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808226	DENV2	III-Asian-American	2019-06-07	South America	Brazil	Minas Gerais	Montes Claros	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808228	DENV2	III-Asian-American	2019-03-26	South America	Brazil	Mato Grosso do Sul	Maracaju	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.50%% of overall sequence).	warn
EPI_ISL_808229	DENV2	III-Asian-American	2019-03-13	South America	Brazil	Mato Grosso do Sul	Maracaju	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.98%% of overall sequence).	warn
EPI_ISL_808230	DENV2	III-Asian-American	2019-01-17	South America	Brazil	Goias	Luziania	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808232	DENV2	III-Asian-American	2019-06-19	South America	Brazil	Bahia	Juazeiro	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808235	DENV2	III-Asian-American	2019-02-22	South America	Brazil	Minas Gerais	Janauba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808238	DENV2	III-Asian-American	2019-04-10	South America	Brazil	Minas Gerais	Jaboticatubas	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.71%% of overall sequence).	warn
EPI_ISL_808242	DENV2	III-Asian-American	2019-05-07	South America	Brazil	Minas Gerais	Ituiutaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.09%% of overall sequence).	warn
EPI_ISL_808243	DENV2	III-Asian-American	2019-04-12	South America	Brazil	Minas Gerais	Ituiutaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808244	DENV2	III-Asian-American	2018-03-02	South America	Brazil	Minas Gerais	Ituiutaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.76%% of overall sequence).	warn
EPI_ISL_808245	DENV2	III-Asian-American	2019-03-19	South America	Brazil	Mato Grosso do Sul	Itaquirai	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.71%% of overall sequence).	warn
EPI_ISL_808246	DENV2	III-Asian-American	2019-03-27	South America	Brazil	Goias	Israelandia	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808247	DENV2	III-Asian-American	2019-03-27	South America	Brazil	Goias	Israelandia	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808248	DENV2	III-Asian-American	2019-01-16	South America	Brazil	Bahia	Irece	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.72%% of overall sequence).	warn
EPI_ISL_808251	DENV2	III-Asian-American	2019-02-14	South America	Brazil	Minas Gerais	Ipiacu	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808253	DENV2	III-Asian-American	2019-03-26	South America	Brazil	Goias	Goiatuba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808254	DENV2	III-Asian-American	2019-06-17	South America	Brazil	Goias	Goianira	Human	Original	Other: Spleen		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.78%% of overall sequence).	warn
EPI_ISL_808255	DENV2	III-Asian-American	2019-05-10	South America	Brazil	Goias	Goiania	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808256	DENV2	III-Asian-American	2019-04-29	South America	Brazil	Goias	Goiania	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808257	DENV2	III-Asian-American	2019-04-25	South America	Brazil	Goias	Goiania	Human	Original	Other: Liver		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.77%% of overall sequence).	warn
EPI_ISL_808259	DENV2	III-Asian-American	2019-04-04	South America	Brazil	Goias	Goiania	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808260	DENV2	III-Asian-American	2019-03-01	South America	Brazil	Goias	Goiania	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808261	DENV2	III-Asian-American	2019-02-21	South America	Brazil	Goias	Goiania	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808262	DENV2	III-Asian-American	2019-02-07	South America	Brazil	Goias	Goiania	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808263	DENV2	III-Asian-American	2019-02-01	South America	Brazil	Goias	Goiania	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808264	DENV2	III-Asian-American	2017-02-20	South America	Brazil	Goias	Goiania	Human	Original	Other: Liver		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.70%% of overall sequence).	warn
EPI_ISL_808267	DENV2	III-Asian-American	2019-02-11	South America	Brazil	Goias	Firminopolis	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808268	DENV2	III-Asian-American	2019-01-18	South America	Brazil	Goias	Firminopolis	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808269	DENV2	III-Asian-American	2019-06-07	South America	Brazil	Bahia	Feira de Santana	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808270	DENV2	III-Asian-American	2019-06-06	South America	Brazil	Bahia	Feira de Santana	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808284	DENV2	III-Asian-American	2019-03-15	South America	Brazil	Mato Grosso	Dois Irmaos do Buriti	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (8.29%% of overall sequence).	warn
EPI_ISL_808287	DENV2	III-Asian-American	2019-05-09	South America	Brazil	Pernambuco	Custodia	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808289	DENV2	III-Asian-American	2019-03-02	South America	Brazil	Mato Grosso	Cuiaba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (9.71%% of overall sequence).	warn
EPI_ISL_808290	DENV2	III-Asian-American	2019-03-26	South America	Brazil	Goias	Corumba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.76%% of overall sequence).	warn
EPI_ISL_808292	DENV2	III-Asian-American	2019-02-22	South America	Brazil	Goias	Corumba	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808302	DENV2	III-Asian-American	2019-03-19	South America	Brazil	Mato Grosso do Sul	Chapadao do Sul	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.82%% of overall sequence).	warn
EPI_ISL_808303	DENV2	III-Asian-American	2019-03-17	South America	Brazil	Mato Grosso do Sul	Chapadao do Sul	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808305	DENV2	III-Asian-American	2019-02-05	South America	Brazil	Minas Gerais	Capinopolis	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808306	DENV2	III-Asian-American	2018-04-04	South America	Brazil	Minas Gerais	Capinopolis	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808307	DENV2	III-Asian-American	2018-04-04	South America	Brazil	Minas Gerais	Capinopolis	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808308	DENV2	III-Asian-American	2019-04-24	South America	Brazil	Minas Gerais	Campos Gerais	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808309	DENV2	III-Asian-American	2019-04-26	South America	Brazil	Mato Grosso do Sul	Campo Grande	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (6.97%% of overall sequence).	warn
EPI_ISL_808310	DENV2	III-Asian-American	2019-04-11	South America	Brazil	Mato Grosso do Sul	Campo Grande	Human	Original	Other: Lymph node		Oxford Nanopore MinION	GenomeDetective v. 1.20	Stretches of NNNs (5.70%% of overall sequence).	warn
EPI_ISL_808311	DENV2	III-Asian-American	2019-03-22	South America	Brazil	Mato Grosso do Sul	Campo Grande	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808312	DENV2	III-Asian-American	2019-03-22	South America	Brazil	Mato Grosso do Sul	Campo Grande	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
EPI_ISL_808313	DENV2	III-Asian-American	2019-03-06	South America	Brazil	Mato Grosso do Sul	Campo Grande	Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 1.20		
